50,400,700
0,0,136
1,270,434
2,66,156
3,37,245
4,81,400
5,318,364
6,2,201
7,375,187
8,171,342
9,139,205
10,191,561
11,71,244
12,274,297
13,353,317
14,192,603
15,363,369
16,105,420
17,131,19
18,78,381
19,247,584
20,397,164
21,302,11
22,283,604
23,264,427
24,301,346
25,140,139
26,133,393
27,369,595
28,121,401
29,309,144
30,253,199
31,291,650
32,363,232
33,77,82
34,356,149
35,17,631
36,104,634
37,59,111
38,334,168
39,258,174
40,221,74
41,342,31
42,336,218
43,280,67
44,212,587
45,241,629
46,89,392
47,57,452
48,216,327
49,291,196
50,256,8
51,289,247
52,126,219
53,363,589
54,161,612
55,252,540
56,157,669
57,308,43
58,43,304
59,15,5
60,26,455
61,321,610
62,255,80
63,142,565
64,355,666
65,158,145
66,326,96
67,116,184
68,171,634
69,57,479
70,208,415
71,215,393
72,206,7
73,286,643
74,34,243
75,3,408
76,365,115
77,385,437
78,5,462
79,104,16
80,71,234
81,130,361
82,226,87
83,330,270
84,154,175
85,321,554
86,353,105
87,302,51
88,63,125
89,91,601
90,121,667
91,112,434
92,45,422
93,255,408
94,103,110
95,351,20
96,345,608
97,71,137
98,395,331
99,224,596
100,339,662
101,224,674
102,294,668
103,343,230
104,210,485
105,107,31
106,96,561
107,294,271
108,78,47
109,70,432
110,36,458
111,152,447
112,155,325
113,157,388
114,130,182
115,343,634
116,317,214
117,113,244
118,36,161
119,111,191
120,115,496
121,13,131
122,364,242
123,119,195
124,118,362
125,230,626
126,102,422
127,49,255
128,182,346
129,220,338
130,368,694
131,136,185
132,319,447
133,215,299
134,264,359
135,343,182
136,351,486
137,360,280
138,388,196
139,32,691
140,19,435
141,86,509
142,62,349
143,244,544
144,181,469
145,43,668
146,108,329
147,296,160
148,277,566
149,83,57
150,161,613
151,275,98
152,246,417
153,342,336
154,298,183
155,254,595
156,273,400
157,2,521
158,19,596
159,320,146
160,316,440
161,175,337
162,58,90
163,285,159
164,225,410
165,1,47
166,230,34
167,257,508
168,367,408
169,345,649
170,271,446
171,71,446
172,49,497
173,382,220
174,44,100
175,39,97
176,296,167
177,177,52
178,246,374
179,18,1
180,196,496
181,385,690
182,298,527
183,366,335
184,383,317
185,337,495
186,345,670
187,230,157
188,373,156
189,184,375
190,238,645
191,291,550
192,96,17
193,206,424
194,184,221
195,233,369
196,385,59
197,58,129
198,144,171
199,84,234
200,216,18
201,392,285
202,75,367
203,219,451
204,134,518
205,269,250
206,358,481
207,332,327
208,73,273
209,152,502
210,394,24
211,96,636
212,182,586
213,62,544
214,59,396
215,199,192
216,288,78
217,149,421
218,27,672
219,150,209
220,209,650
221,149,371
222,283,243
223,92,549
224,48,169
225,135,447
226,7,342
227,359,526
228,174,591
229,215,519
230,18,65
231,69,254
232,74,367
233,100,630
234,11,403
235,292,8
236,386,663
237,231,579
238,364,546
239,22,119
240,52,658
241,270,80
242,370,188
243,31,366
244,82,483
245,85,327
246,274,484
247,338,38
248,367,472
249,375,305
250,67,358
251,175,659
252,254,558
253,273,613
254,372,402
255,241,221
256,88,274
257,308,424
258,224,500
259,127,300
260,223,267
261,300,550
262,248,415
263,129,607
264,245,380
265,331,194
266,364,339
267,376,577
268,120,163
269,360,224
270,39,244
271,141,392
272,203,148
273,32,574
274,137,256
275,100,321
276,262,409
277,240,351
278,146,308
279,32,355
280,46,275
281,344,543
282,120,430
283,325,688
284,214,322
285,114,265
286,230,560
287,329,501
288,173,648
289,311,120
290,221,210
291,122,292
292,386,48
293,306,341
294,188,171
295,367,97
296,193,542
297,99,174
298,239,618
299,277,660
300,72,349
301,49,395
302,180,394
303,82,108
304,127,65
305,116,115
306,285,180
307,179,92
308,342,649
309,375,139
310,100,133
311,369,397
312,2,199
313,76,675
314,339,547
315,116,448
316,360,658
317,54,125
318,16,301
319,64,581
320,309,618
321,168,97
322,129,155
323,346,628
324,190,520
325,326,395
326,392,194
327,347,309
328,303,501
329,272,467
330,178,449
331,25,496
332,340,350
333,94,408
334,180,656
335,371,531
336,173,314
337,32,135
338,262,680
339,11,126
340,303,300
341,386,392
342,104,230
343,67,448
344,325,509
345,346,576
346,98,175
347,322,564
348,193,321
349,156,214
350,179,332
351,147,638
352,87,398
353,39,351
354,204,478
355,46,537
356,28,454
357,379,411
358,174,428
359,168,334
360,272,667
361,336,505
362,163,396
363,63,264
364,161,200
365,132,77
366,10,295
367,57,172
368,388,59
369,168,557
370,296,386
371,246,257
372,272,94
373,313,321
374,216,605
375,258,122
376,7,71
377,49,365
378,44,560
379,301,198
380,88,387
381,249,264
382,379,168
383,305,563
384,328,416
385,62,502
386,187,682
387,133,255
388,283,126
389,297,216
390,133,688
391,113,630
392,231,521
393,231,296
394,297,680
395,31,33
396,257,62
397,314,432
398,186,441
399,343,18
400,329,483
401,120,202
402,189,684
403,149,204
404,37,37
405,35,655
406,1,661
407,382,158
408,95,199
409,251,382
410,166,262
411,171,2
412,149,87
413,328,155
414,148,225
415,251,684
416,234,606
417,165,515
418,191,20
419,181,477
420,46,6
421,290,455
422,276,88
423,244,74
424,96,654
425,200,94
426,264,645
427,11,72
428,202,164
429,382,308
430,344,309
431,157,658
432,368,290
433,154,368
434,152,159
435,75,21
436,307,363
437,242,53
438,303,123
439,103,277
440,14,512
441,114,221
442,298,243
443,152,244
444,293,98
445,48,260
